,Index,Name,Area,Review_Date,Rating_attribute,Rating(Out of 10),Review_Text,tokens,sentiment,compound_score,sentiment_category,positive_score,negative_score,neutral_score
3139,3139,Hotel The Rasa Near Welcome Metro Station,"East Delhi, New Delhi",Jul-23,pathetic,1.0,nothing it was horrible….,"['nothing', 'it', 'was', 'horrible…', '.']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
3140,3140,Hotel The Rasa Near Welcome Metro Station,"East Delhi, New Delhi",Jul-23,Bad,1.0,The name of hotel was wrong ...when I reached the hotel .The hotel name was oyo hotel . The facility was the worst ...The hotel manager was batameez .,"['The', 'name', 'of', 'hotel', 'was', 'wrong', '...', 'when', 'I', 'reached', 'the', 'hotel', '.The', 'hotel', 'name', 'was', 'oyo', 'hotel', '.', 'The', 'facility', 'was', 'the', 'worst', '...', 'The', 'hotel', 'manager', 'was', 'batameez', '.']","{'neg': 0.228, 'neu': 0.728, 'pos': 0.044, 'compound': -0.7783}",-0.7783,Negative,0.044,0.228,0.728
3141,3141,Hotel The Rasa Near Welcome Metro Station,"East Delhi, New Delhi",Aug-23,Superb,9.0, no comments available for this review,"['no', 'comments', 'available', 'for', 'this', 'review']","{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,0.0,0.306,0.694
3142,3142,Hotel The Rasa Near Welcome Metro Station,"East Delhi, New Delhi",Aug-23,Superb,9.0, no comments available for this review,"['no', 'comments', 'available', 'for', 'this', 'review']","{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,0.0,0.306,0.694
3143,3143,"Hotel Red Coral - Netaji Subhash Place, Pitampura","North Delhi, New Delhi",Aug-23,I request Booking.com to not lower your standards and become like OYO.,7.0,"The location was near the metro and rarely peaceful in Delhi.
The reception staff was not rude if not friendly.
Food was tasty and in budget","['The', 'location', 'was', 'near', 'the', 'metro', 'and', 'rarely', 'peaceful', 'in', 'Delhi', '.', 'The', 'reception', 'staff', 'was', 'not', 'rude', 'if', 'not', 'friendly', '.', 'Food', 'was', 'tasty', 'and', 'in', 'budget']","{'neg': 0.171, 'neu': 0.748, 'pos': 0.081, 'compound': -0.4168}",-0.4168,Negative,0.081,0.171,0.748
3144,3144,"Hotel Red Coral - Netaji Subhash Place, Pitampura","North Delhi, New Delhi",Aug-23,Bad,1.0,"Called registered no several time to get exact location, got no reply. Pathetic","['Called', 'registered', 'no', 'several', 'time', 'to', 'get', 'exact', 'location', ',', 'got', 'no', 'reply', '.', 'Pathetic']","{'neg': 0.448, 'neu': 0.552, 'pos': 0.0, 'compound': -0.7964}",-0.7964,Negative,0.0,0.448,0.552
3145,3145,"Hotel Red Coral - Netaji Subhash Place, Pitampura","North Delhi, New Delhi",Aug-23,good,10.0,good,['good'],"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,Positive,1.0,0.0,0.0
3146,3146,"Hotel Red Coral - Netaji Subhash Place, Pitampura","North Delhi, New Delhi",Jul-23,Pathetic Experience,1.0,Nothing to like..,"['Nothing', 'to', 'like', '..']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
3147,3147,"Hotel Red Coral - Netaji Subhash Place, Pitampura","North Delhi, New Delhi",Aug-23,Bad,1.0, no comments available for this review,"['no', 'comments', 'available', 'for', 'this', 'review']","{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative,0.0,0.306,0.694
3148,3148,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi",Mar-22,ITC is always good,10.0,Always a pleasure to stay in ITC,"['Always', 'a', 'pleasure', 'to', 'stay', 'in', 'ITC']","{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}",0.5719,Positive,0.425,0.0,0.575
3149,3149,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi",Aug-23,Very good,8.0,Room is good,"['Room', 'is', 'good']","{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,Positive,0.592,0.0,0.408
3150,3150,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi",Aug-23,Great hotel .,9.0,"The property was exceptional. 
The staff were very curtious,  exceedingly pleasant. 
Must mention that the quality of food was amazing. 
 The hair saloon had great stylists too.","['The', 'property', 'was', 'exceptional', '.', 'The', 'staff', 'were', 'very', 'curtious', ',', 'exceedingly', 'pleasant', '.', 'Must', 'mention', 'that', 'the', 'quality', 'of', 'food', 'was', 'amazing', '.', 'The', 'hair', 'saloon', 'had', 'great', 'stylists', 'too', '.']","{'neg': 0.0, 'neu': 0.677, 'pos': 0.323, 'compound': 0.9093}",0.9093,Positive,0.323,0.0,0.677
3151,3151,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi",Aug-23,Bukhara,8.0,Hospitality,['Hospitality'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
3152,3152,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi",Aug-23,I really enjoyed staying and don’t miss Bukhara restaurant and Dal Bukhara iota worth 1000 times,8.0,"Location,Ambience and Bukhara restaurant","['Location', ',', 'Ambience', 'and', 'Bukhara', 'restaurant']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
3153,3153,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi",Aug-23,in line with expectations: clean and kind staff,8.0,"Clean and elegant, the staff has been nice and kind, good massage! the dinner at Bukhara was really good!","['Clean', 'and', 'elegant', ',', 'the', 'staff', 'has', 'been', 'nice', 'and', 'kind', ',', 'good', 'massage', '!', 'the', 'dinner', 'at', 'Bukhara', 'was', 'really', 'good', '!']","{'neg': 0.0, 'neu': 0.414, 'pos': 0.586, 'compound': 0.9544}",0.9544,Positive,0.586,0.0,0.414
3154,3154,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi",Aug-23,Beware! No club level access on a club level rooms,7.0,"Nice location with a great restaurant Bukhara, and a nice breakfast.","['Nice', 'location', 'with', 'a', 'great', 'restaurant', 'Bukhara', ',', 'and', 'a', 'nice', 'breakfast', '.']","{'neg': 0.0, 'neu': 0.382, 'pos': 0.618, 'compound': 0.8658}",0.8658,Positive,0.618,0.0,0.382
3155,3155,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi",Aug-23,"Not happy with Chekc inn process , it took 30 mins at night 10.00 Pm to give me my room keys , chekc inn was very slow .",8.0,"Food , location and Room","['Food', ',', 'location', 'and', 'Room']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
3156,3156,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi",Jul-23,Awesome,9.0,"Great location
Hospitality","['Great', 'location', 'Hospitality']","{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}",0.6249,Positive,0.672,0.0,0.328
3157,3157,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi",Jul-23,Very good,8.0,Safe and clean,"['Safe', 'and', 'clean']","{'neg': 0.0, 'neu': 0.152, 'pos': 0.848, 'compound': 0.6808}",0.6808,Positive,0.848,0.0,0.152
3158,3158,FabHotel F9 Paschim Vihar,"Pashim Vihar, New Delhi",Mar-23,Very good,8.0,Nice hotel and clean room staff is very good,"['Nice', 'hotel', 'and', 'clean', 'room', 'staff', 'is', 'very', 'good']","{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.8268}",0.8268,Positive,0.592,0.0,0.408
3159,3159,FabHotel F9 Paschim Vihar,"Pashim Vihar, New Delhi",Apr-23,Very good,8.0,Good stay,"['Good', 'stay']","{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,Positive,0.744,0.0,0.256
3160,3160,FabHotel F9 Paschim Vihar,"Pashim Vihar, New Delhi",Apr-23,Very good,8.0,Reception manager is good happiness and clean room,"['Reception', 'manager', 'is', 'good', 'happiness', 'and', 'clean', 'room']","{'neg': 0.0, 'neu': 0.352, 'pos': 0.648, 'compound': 0.8481}",0.8481,Positive,0.648,0.0,0.352
3161,3161,FabHotel F9 Paschim Vihar,"Pashim Vihar, New Delhi",Apr-23,Very good,8.0,Good location is very good service good and stay is very nice,"['Good', 'location', 'is', 'very', 'good', 'service', 'good', 'and', 'stay', 'is', 'very', 'nice']","{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.9077}",0.9077,Positive,0.607,0.0,0.393
3162,3162,FabHotel F9 Paschim Vihar,"Pashim Vihar, New Delhi",Apr-23,Very good,8.0,All good,"['All', 'good']","{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,Positive,0.744,0.0,0.256
3163,3163,FabHotel F9 Paschim Vihar,"Pashim Vihar, New Delhi",Apr-23,Very good,8.0,Nice,['Nice'],"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,Positive,1.0,0.0,0.0
3164,3164,FabHotel F9 Paschim Vihar,"Pashim Vihar, New Delhi",Apr-23,Very good,8.0,Nice hotel and location is very good,"['Nice', 'hotel', 'and', 'location', 'is', 'very', 'good']","{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.7178}",0.7178,Positive,0.545,0.0,0.455
3165,3165,FabHotel F9 Paschim Vihar,"Pashim Vihar, New Delhi",Apr-23,Very good,8.0,Nice hotel,"['Nice', 'hotel']","{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,Positive,0.737,0.0,0.263
3166,3166,FabHotel F9 Paschim Vihar,"Pashim Vihar, New Delhi",Jan-23,Very good,8.0, · Complimentary breakfast should have more options,"['·', 'Complimentary', 'breakfast', 'should', 'have', 'more', 'options']","{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,Positive,0.367,0.0,0.633
3167,3167,FabHotel F9 Paschim Vihar,"Pashim Vihar, New Delhi",Nov-22,Good,7.0,Good housekeeping and good staff,"['Good', 'housekeeping', 'and', 'good', 'staff']","{'neg': 0.0, 'neu': 0.341, 'pos': 0.659, 'compound': 0.7003}",0.7003,Positive,0.659,0.0,0.341
3168,3168,Roomshala 069 Harshi Residency - Janankpuri,"Janakpuri, New Delhi",Jul-23,Superb,9.0,We stayed in this hotel for one night and it was one of the best experience,"['We', 'stayed', 'in', 'this', 'hotel', 'for', 'one', 'night', 'and', 'it', 'was', 'one', 'of', 'the', 'best', 'experience']","{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6369}",0.6369,Positive,0.219,0.0,0.781
3169,3169,Roomshala 069 Harshi Residency - Janankpuri,"Janakpuri, New Delhi",Aug-23,Bad,1.0,Kuch bhi sahi nahi tha...bilkul barbad hai...Koi yahaan mat jaana bhulkar bhi,"['Kuch', 'bhi', 'sahi', 'nahi', 'tha', '...', 'bilkul', 'barbad', 'hai', '...', 'Koi', 'yahaan', 'mat', 'jaana', 'bhulkar', 'bhi']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
3170,3170,Roomshala 069 Harshi Residency - Janankpuri,"Janakpuri, New Delhi",Aug-23,Bad,1.0,VERY BAD EXPERIENCE,"['VERY', 'BAD', 'EXPERIENCE']","{'neg': 0.655, 'neu': 0.345, 'pos': 0.0, 'compound': -0.5849}",-0.5849,Negative,0.0,0.655,0.345
3171,3171,Roomshala 069 Harshi Residency - Janankpuri,"Janakpuri, New Delhi",Jul-23,Worst,1.0,"Nothing works, no water. They switch off AC at night. No drinking water.","['Nothing', 'works', ',', 'no', 'water', '.', 'They', 'switch', 'off', 'AC', 'at', 'night', '.', 'No', 'drinking', 'water', '.']","{'neg': 0.146, 'neu': 0.729, 'pos': 0.125, 'compound': -0.0803}",-0.0803,Negative,0.125,0.146,0.729
3172,3172,Roomshala 069 Harshi Residency - Janankpuri,"Janakpuri, New Delhi",Jul-23,Don't choose a stay like this for the family.,1.0,Absolutely nothing,"['Absolutely', 'nothing']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
3173,3173,Roomshala 069 Harshi Residency - Janankpuri,"Janakpuri, New Delhi",Jul-23,Bad,1.0," · The bed & room was not as shown in the website.
It was dirty and toilet and wash basin was not cleaned.
Lot of mosquitoes coming from the broken exhaust fan.
Bedsheets and pillow covers were smelling like it was not washed for months.
AC was not cooling and no fan was there. 
It was horrible experience out there. 
Don't know how Booking.com even promoting the hotel in its website.","['·', 'The', 'bed', '&', 'room', 'was', 'not', 'as', 'shown', 'in', 'the', 'website', '.', 'It', 'was', 'dirty', 'and', 'toilet', 'and', 'wash', 'basin', 'was', 'not', 'cleaned', '.', 'Lot', 'of', 'mosquitoes', 'coming', 'from', 'the', 'broken', 'exhaust', 'fan', '.', 'Bedsheets', 'and', 'pillow', 'covers', 'were', 'smelling', 'like', 'it', 'was', 'not', 'washed', 'for', 'months', '.', 'AC', 'was', 'not', 'cooling', 'and', 'no', 'fan', 'was', 'there', '.', 'It', 'was', 'horrible', 'experience', 'out', 'there', '.', 'Do', ""n't"", 'know', 'how', 'Booking.com', 'even', 'promoting', 'the', 'hotel', 'in', 'its', 'website', '.']","{'neg': 0.141, 'neu': 0.721, 'pos': 0.138, 'compound': -0.2987}",-0.2987,Negative,0.138,0.141,0.721
3174,3174,Roomshala 069 Harshi Residency - Janankpuri,"Janakpuri, New Delhi",Jun-23,Superb,9.0,"Affordable price.
If I compared to other hotels
This one is better than all.","['Affordable', 'price', '.', 'If', 'I', 'compared', 'to', 'other', 'hotels', 'This', 'one', 'is', 'better', 'than', 'all', '.']","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}",0.4404,Positive,0.195,0.0,0.805
3175,3175,Roomshala 069 Harshi Residency - Janankpuri,"Janakpuri, New Delhi",Jul-23,Superb,9.0,Amazing experience stay at this unique yet luxurious hotel,"['Amazing', 'experience', 'stay', 'at', 'this', 'unique', 'yet', 'luxurious', 'hotel']","{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.5859}",0.5859,Positive,0.322,0.0,0.678
3176,3176,Roomshala 069 Harshi Residency - Janankpuri,"Janakpuri, New Delhi",Jul-23,Superb,9.0,"The staff at hotel in Roomshala were friendly, courteous, and helpful.","['The', 'staff', 'at', 'hotel', 'in', 'Roomshala', 'were', 'friendly', ',', 'courteous', ',', 'and', 'helpful', '.']","{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.8519}",0.8519,Positive,0.538,0.0,0.462
3177,3177,Roomshala 069 Harshi Residency - Janankpuri,"Janakpuri, New Delhi",Jul-23,Very good,8.0,The hotel was wonderful. It was even better than expected. The price was amazing.,"['The', 'hotel', 'was', 'wonderful', '.', 'It', 'was', 'even', 'better', 'than', 'expected', '.', 'The', 'price', 'was', 'amazing', '.']","{'neg': 0.0, 'neu': 0.514, 'pos': 0.486, 'compound': 0.886}",0.886,Positive,0.486,0.0,0.514
3178,3178,Roomshala 028 Blu Lagoon - Opposite Select City Walk Mall,"Malviya Nagar, New Delhi",Jun-23,Superb,9.0,Very hygienic and clean rooms.,"['Very', 'hygienic', 'and', 'clean', 'rooms', '.']","{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.4522}",0.4522,Positive,0.426,0.0,0.574
3179,3179,Roomshala 028 Blu Lagoon - Opposite Select City Walk Mall,"Malviya Nagar, New Delhi",Jul-23,Very good,8.0,This hotel is very fantastic,"['This', 'hotel', 'is', 'very', 'fantastic']","{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.5984}",0.5984,Positive,0.493,0.0,0.507
3180,3180,Roomshala 028 Blu Lagoon - Opposite Select City Walk Mall,"Malviya Nagar, New Delhi",Jul-23,Very good,8.0,Great location we really loved it,"['Great', 'location', 'we', 'really', 'loved', 'it']","{'neg': 0.0, 'neu': 0.325, 'pos': 0.675, 'compound': 0.8516}",0.8516,Positive,0.675,0.0,0.325
3181,3181,Roomshala 028 Blu Lagoon - Opposite Select City Walk Mall,"Malviya Nagar, New Delhi",Jul-23,Very good,8.0,Hotel exceeded my expectations was spotless the staff was amazing and the most comfortable bed I have ever slept in,"['Hotel', 'exceeded', 'my', 'expectations', 'was', 'spotless', 'the', 'staff', 'was', 'amazing', 'and', 'the', 'most', 'comfortable', 'bed', 'I', 'have', 'ever', 'slept', 'in']","{'neg': 0.0, 'neu': 0.697, 'pos': 0.303, 'compound': 0.8122}",0.8122,Positive,0.303,0.0,0.697
3182,3182,Roomshala 028 Blu Lagoon - Opposite Select City Walk Mall,"Malviya Nagar, New Delhi",Jun-23,Pleasant,6.0, · Free breakfast was mentioned in the description but didn’t get it during the stay.,"['·', 'Free', 'breakfast', 'was', 'mentioned', 'in', 'the', 'description', 'but', 'didn', '’', 't', 'get', 'it', 'during', 'the', 'stay', '.']","{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.2846}",0.2846,Positive,0.142,0.0,0.858
3183,3183,Roomshala 028 Blu Lagoon - Opposite Select City Walk Mall,"Malviya Nagar, New Delhi",Jun-23,Very good,8.0,The check in and check out processes were smooth. The room was very nicely decorated with comfortable bed and head rests.,"['The', 'check', 'in', 'and', 'check', 'out', 'processes', 'were', 'smooth', '.', 'The', 'room', 'was', 'very', 'nicely', 'decorated', 'with', 'comfortable', 'bed', 'and', 'head', 'rests', '.']","{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.7574}",0.7574,Positive,0.255,0.0,0.745
3184,3184,Roomshala 028 Blu Lagoon - Opposite Select City Walk Mall,"Malviya Nagar, New Delhi",Jul-23,"Stay had issues, missing amenities, used my booking to rate themselves. Very BAD!",3.0,"- Location is just 2 mins walk away from Select City mall.
- Easy checkin, checkout
- Comfortable bed.
- affordable prices for food.
- staff was polite and decent
- From Malviya nagar metro you can reach for 20 INR in shared auto or 40/50 for complete booking.
is 6-7 mins drive from Malviya nagar metro station.","['-', 'Location', 'is', 'just', '2', 'mins', 'walk', 'away', 'from', 'Select', 'City', 'mall', '.', '-', 'Easy', 'checkin', ',', 'checkout', '-', 'Comfortable', 'bed', '.', '-', 'affordable', 'prices', 'for', 'food', '.', '-', 'staff', 'was', 'polite', 'and', 'decent', '-', 'From', 'Malviya', 'nagar', 'metro', 'you', 'can', 'reach', 'for', '20', 'INR', 'in', 'shared', 'auto', 'or', '40/50', 'for', 'complete', 'booking', '.', 'is', '6-7', 'mins', 'drive', 'from', 'Malviya', 'nagar', 'metro', 'station', '.']","{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.8271}",0.8271,Positive,0.171,0.0,0.829
3185,3185,Roomshala 028 Blu Lagoon - Opposite Select City Walk Mall,"Malviya Nagar, New Delhi",Jul-23,Superb,9.0,Good hotel with nice location,"['Good', 'hotel', 'with', 'nice', 'location']","{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.6908}",0.6908,Positive,0.655,0.0,0.345
3186,3186,Roomshala 028 Blu Lagoon - Opposite Select City Walk Mall,"Malviya Nagar, New Delhi",Jul-23,Superb,9.0,Family and couples can stay here. No negative behaviour.,"['Family', 'and', 'couples', 'can', 'stay', 'here', '.', 'No', 'negative', 'behaviour', '.']","{'neg': 0.457, 'neu': 0.543, 'pos': 0.0, 'compound': -0.7096}",-0.7096,Negative,0.0,0.457,0.543
3187,3187,Roomshala 028 Blu Lagoon - Opposite Select City Walk Mall,"Malviya Nagar, New Delhi",Jul-23,Superb,9.0,My stay all the more convenient and enjoyable,"['My', 'stay', 'all', 'the', 'more', 'convenient', 'and', 'enjoyable']","{'neg': 0.0, 'neu': 0.689, 'pos': 0.311, 'compound': 0.4877}",0.4877,Positive,0.311,0.0,0.689
3188,3188,Amax Inn,"Paharganj, New Delhi",Oct-21,This is Just Perfect.,10.0,"The Room, The Hotel, The Staff, The Owners, The Feeling, The looks.
Everything was awesome for me. Before choosing this hotel i searched the every hotel within my Budget in whole Delhi, Noida and Gurgaon. This was the place i found after searching for a week. And it Exceeded all my Expectations. 
Nature of Staff and Owners is really friendly and humble. 
Room was comfortable. I didn't expected the lift haha but there was lift as well, was in work all the time.
I Highly Recommend this place. Your stay gonna be Epic.","['The', 'Room', ',', 'The', 'Hotel', ',', 'The', 'Staff', ',', 'The', 'Owners', ',', 'The', 'Feeling', ',', 'The', 'looks', '.', 'Everything', 'was', 'awesome', 'for', 'me', '.', 'Before', 'choosing', 'this', 'hotel', 'i', 'searched', 'the', 'every', 'hotel', 'within', 'my', 'Budget', 'in', 'whole', 'Delhi', ',', 'Noida', 'and', 'Gurgaon', '.', 'This', 'was', 'the', 'place', 'i', 'found', 'after', 'searching', 'for', 'a', 'week', '.', 'And', 'it', 'Exceeded', 'all', 'my', 'Expectations', '.', 'Nature', 'of', 'Staff', 'and', 'Owners', 'is', 'really', 'friendly', 'and', 'humble', '.', 'Room', 'was', 'comfortable', '.', 'I', 'did', ""n't"", 'expected', 'the', 'lift', 'haha', 'but', 'there', 'was', 'lift', 'as', 'well', ',', 'was', 'in', 'work', 'all', 'the', 'time', '.', 'I', 'Highly', 'Recommend', 'this', 'place', '.', 'Your', 'stay', 'gon', 'na', 'be', 'Epic', '.']","{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.9265}",0.9265,Positive,0.17,0.0,0.83
3189,3189,Amax Inn,"Paharganj, New Delhi",Mar-23,"Me & my wife were stay at 9 nights (24Mar 4.00pm to 2nd April 10.00am)water,complementary no serve",6.0,location is not good,"['location', 'is', 'not', 'good']","{'neg': 0.445, 'neu': 0.555, 'pos': 0.0, 'compound': -0.3412}",-0.3412,Negative,0.0,0.445,0.555
3190,3190,Amax Inn,"Paharganj, New Delhi",Mar-23,Satisfied,7.0,Friendly helpful staff. Value for money. good facilities. Delicious simple food in the restaurant .,"['Friendly', 'helpful', 'staff', '.', 'Value', 'for', 'money', '.', 'good', 'facilities', '.', 'Delicious', 'simple', 'food', 'in', 'the', 'restaurant', '.']","{'neg': 0.0, 'neu': 0.375, 'pos': 0.625, 'compound': 0.9325}",0.9325,Positive,0.625,0.0,0.375
3191,3191,Amax Inn,"Paharganj, New Delhi",Oct-22,"clean tidy room, everything else pretty dreadful",5.0,"the room was clean, shower was basic but nice with toiletries provided- toilet roll etc, the hotel was clean and tidy inside","['the', 'room', 'was', 'clean', ',', 'shower', 'was', 'basic', 'but', 'nice', 'with', 'toiletries', 'provided-', 'toilet', 'roll', 'etc', ',', 'the', 'hotel', 'was', 'clean', 'and', 'tidy', 'inside']","{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.8442}",0.8442,Positive,0.324,0.0,0.676
3192,3192,Amax Inn,"Paharganj, New Delhi",Aug-21,bad experience compared to oyo hotels,5.0,nice staff helpful,"['nice', 'staff', 'helpful']","{'neg': 0.0, 'neu': 0.152, 'pos': 0.848, 'compound': 0.6808}",0.6808,Positive,0.848,0.0,0.152
3193,3193,Amax Inn,"Paharganj, New Delhi",Mar-23,Disappointing,4.0,it has a restaurant with very good good for a good price.,"['it', 'has', 'a', 'restaurant', 'with', 'very', 'good', 'good', 'for', 'a', 'good', 'price', '.']","{'neg': 0.0, 'neu': 0.422, 'pos': 0.578, 'compound': 0.8618}",0.8618,Positive,0.578,0.0,0.422
3194,3194,Amax Inn,"Paharganj, New Delhi",Feb-23,Bad,1.0,"Very busy area , location is ok","['Very', 'busy', 'area', ',', 'location', 'is', 'ok']","{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.296}",0.296,Positive,0.306,0.0,0.694
3195,3195,Amax Inn,"Paharganj, New Delhi",Jan-23,Bad,1.0,The staff is very helpful and pro active,"['The', 'staff', 'is', 'very', 'helpful', 'and', 'pro', 'active']","{'neg': 0.0, 'neu': 0.509, 'pos': 0.491, 'compound': 0.6997}",0.6997,Positive,0.491,0.0,0.509
3196,3196,Amax Inn,"Paharganj, New Delhi",Apr-22,Very good,8.0,The hotel facilities are as good as the value of money. The location of the hotel is not that good for foreigners but not harmful. Overall good recommendation.,"['The', 'hotel', 'facilities', 'are', 'as', 'good', 'as', 'the', 'value', 'of', 'money', '.', 'The', 'location', 'of', 'the', 'hotel', 'is', 'not', 'that', 'good', 'for', 'foreigners', 'but', 'not', 'harmful', '.', 'Overall', 'good', 'recommendation', '.']","{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.8151}",0.8151,Positive,0.283,0.0,0.717
3197,3197,Amax Inn,"Paharganj, New Delhi",Jan-21,Normally hotel price is low. But online booking is to high,1.0,Nothing like this property,"['Nothing', 'like', 'this', 'property']","{'neg': 0.413, 'neu': 0.587, 'pos': 0.0, 'compound': -0.2755}",-0.2755,Negative,0.0,0.413,0.587
3198,3198,Hotel Aster Inn Karol Bagh New Delhi,"Karol bagh, New Delhi",Apr-23,must stay in aster inn,10.0,"Hotel aster inn very Good to stay. The staffs are wonderful. We have booked a room, which is outstanding to stay. The room service along with food is also wonderful. A special mention, the price of the food is also reasonable. mr Rakesh and rosy are of those wonderful staffs. The service given by them is excellent. Next time in Delhi, must stay in Hotel aster inn","['Hotel', 'aster', 'inn', 'very', 'Good', 'to', 'stay', '.', 'The', 'staffs', 'are', 'wonderful', '.', 'We', 'have', 'booked', 'a', 'room', ',', 'which', 'is', 'outstanding', 'to', 'stay', '.', 'The', 'room', 'service', 'along', 'with', 'food', 'is', 'also', 'wonderful', '.', 'A', 'special', 'mention', ',', 'the', 'price', 'of', 'the', 'food', 'is', 'also', 'reasonable', '.', 'mr', 'Rakesh', 'and', 'rosy', 'are', 'of', 'those', 'wonderful', 'staffs', '.', 'The', 'service', 'given', 'by', 'them', 'is', 'excellent', '.', 'Next', 'time', 'in', 'Delhi', ',', 'must', 'stay', 'in', 'Hotel', 'aster', 'inn']","{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.9769}",0.9769,Positive,0.299,0.0,0.701
3199,3199,Hotel Aster Inn Karol Bagh New Delhi,"Karol bagh, New Delhi",May-23,Very good,8.0,good,['good'],"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,Positive,1.0,0.0,0.0
3200,3200,Hotel Aster Inn Karol Bagh New Delhi,"Karol bagh, New Delhi",May-23,Does the job,6.0,"Bed was comfortable, shower good,
Good location, price extremely good","['Bed', 'was', 'comfortable', ',', 'shower', 'good', ',', 'Good', 'location', ',', 'price', 'extremely', 'good']","{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.9001}",0.9001,Positive,0.667,0.0,0.333
3201,3201,Hotel Aster Inn Karol Bagh New Delhi,"Karol bagh, New Delhi",Jan-23,Good,7.0,"I like the room. Cleanliness. Double beded room is enough for one family ,it's big enough and good.","['I', 'like', 'the', 'room', '.', 'Cleanliness', '.', 'Double', 'beded', 'room', 'is', 'enough', 'for', 'one', 'family', ',', 'it', ""'s"", 'big', 'enough', 'and', 'good', '.']","{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.6597}",0.6597,Positive,0.265,0.0,0.735
